continent	latitude	wingsize	sex
1	40.5	941.111111111	0
1	42.0	924.444444444	0
1	43.6	924.204444444	0
1	45.7	915.217777778	0
1	45.9	905.471111111	0
1	47.4	896.004444444	0
1	50.0	913.0	0
1	51.8	916.44	0
1	53.8	933.417777778	0
1	54.8	934.24	0
1	55.8	944.951111111	0
0	41.4	937.871111111	0
0	44.3	903.44	0
0	46.3	921.084444444	0
0	48.4	931.137777778	0
0	50.5	895.111111111	0
0	52.3	928.351111111	0
0	53.5	949.444444444	0
0	55.4	937.96	0
0	57.1	942.404444444	0
0	61.1	988.76	0
1	35.5	890.444444444	1
1	37.0	881.111111111	1
1	38.6	869.76	1
1	40.7	845.44	1
1	40.9	854.804444444	1
1	42.4	834.671111111	1
1	45.0	821.111111111	1
1	46.8	823.551111111	1
1	48.8	800.64	1
1	49.8	823.017777778	1
1	50.8	814.284444444	1
0	36.4	871.204444444	1
0	39.3	853.884444444	1
0	41.3	845.64	1
0	43.4	839.36	1
0	45.5	817.0	1
0	47.3	818.24	1
0	48.5	856.0	1
0	50.4	842.071111111	1
0	52.1	820.96	1
0	56.1	855.537777778	1
